tweet,bencana
banjir bgt keringetnya gemes pengen tak suruh lepas jaket,lainnya
ujannya baru berapa jam udah banjir aja cepet amat banjirnya,banjir
kabupaten malang gempa lagi barusan,gempa
gw kaget longsor depan rumah,longsor
semoga abis wamil banjir project yahh garam,lainnya
terjebak banjir di timur stadion maguwo,banjir
gempa lagi sampe kebangun,gempa
gw bantu tetangga yang jadi korban longsor,longsor
sudah tahun jln di batununggal indah raya jln tersebut sdh di alihkan ke kotamadya kalau banjir tergenang tdk terlihat lobang nya,lainnya
alamak kampung dah banjir,banjir
bandung barusan gempa doain aku selda,gempa
ngungsi ke rmh sodara dlu gara longsor parah,longsor
coba ditanyain tentang usaha penanganan banjir dan kemacetan apakah anies tau progress pengerjaannya,lainnya
depan rumah pun banjir gimana inih,banjir
arjasari banjaran berasa gempa,gempa
longsor tak terhindarkan yg membuat kemacetan,longsor
jadwal tanam minimalisir kerugian petani sebangau akibat banjir,lainnya
anjir banjir lagi,banjir
margacinta terasa gempa beberapa detik,gempa
gara hujan seharian longsor pun jd dmana mana,longsor
cobain bang mampir ke sini bang stus lagi gacor ni bang lagi banyak kejutan bang jp ga da abisnya maen di pragmatic lgi banjir jp bang asli maen di swet bonanza wild west dog house dan aztec lagi gampang dapet free spinnya ga perlu beli spin,lainnya
kampung dah start banjir dah,banjir
gempa lagi ya allah nangis,gempa
longsor adalah musibah yg amat menyebalkan,longsor
iya giliran duit urusan sendiri urusan kerjaan buat atasin banjir aja bilang gk ada anggaran lempar ke pusat bangkeeee dasar sampah gk ada guna,lainnya
disini masih banjir ka,banjir
gempa di yogya sama di pangandaran pantes kerasa banget,gempa
awas ad longsor di jalan lintas medan berastagi,longsor
banjir hadiah program racing agen bni,lainnya
nah kalo kosan banjir gini kan enak jadi ada kerjaan gitu daripada tidur,banjir
di sini juga ikut kena gempa tepatnya daerah kabupaten bandung,gempa
ada longsor di tanjakan tirtanadi sembahe,longsor
bendungan ini juga dinilai mampu mereduksi banjir hingga meter kubik detik wah bagus nih jadi bisa meredam kemungkinan bencana,lainnya
lah kok banjir,banjir
gempa lagi di malang,gempa
ga bisa kerja ada longsor dkat kantor,longsor
kecewa lamban tangani banjir danny evaluasi kepala bpbd dan dinsos,lainnya
jadi korban banjir,banjir
ya tuhan pagi di gereja gempa lagi,gempa
aktifitas belajar mengajar ga bisa dilakukan karena ada longsor,longsor
minta dukungan pengendalian banjir laaah gimn didukung kerja aja loe belom program loe naturalisasi ngak jelas,lainnya
yak rumah banjir,banjir
pangandaran juga gempa,gempa
mimpi apa semalem bangun lihat longsor,longsor
ntah saking capek stress banyak pikiran sibuk atau apa sampe ga notice kalo kemaren tuh emosional banget sampe nangis nangis dan semalem kebangun jam an karena mens yang udah banjir untung ga tembus kasur,lainnya
ngepel kamar yang banjir,banjir
gempa nys di jepara tapi gua di ciamis ngerasain goncangannya juga,gempa
gile longsor bikin plengsengan jalan di pujon malang ambrol,longsor
hujan deras polsek kalibagor dan warga siaga banjir selengkapnya di ig polsek kalibagor dan fb polsek kalibagor,lainnya
gara banjir jarak bjm bjb gini berasa ldr bjm bdg,banjir
gempa barusan ya depok terasa sedikit,gempa
wadaw rumah gw kena longsor gabisa pergi kemana mana,longsor
halo saya kenangan yang hanyut di bawa banjir ketik agar kenangan nya balik lagi,lainnya
kena banjir trus aernya deras bat trus roboh deh temboknya,banjir
bandung terasa banget gempa nya,gempa
tanah simalingkar medan udah sering langganan longsor,longsor
cari info terbaru b inggrisnya banjir adakah,lainnya
guys doain ini daerahku ujan lebat lagi terus airnya naik lagi,banjir
barusan gempa tapi pelan,gempa
cafe deket rumah lau aja kena longsor gimana mau nongkrong,longsor
gilak eh workout tuh emang gada lawan menit doang udah banjir keringet,lainnya
depan rumah gua banjir plis,banjir
si gempa di solo kerasa banget slur,gempa
tanah longsor sampe masuk ke area pemukiman udah gitu ditambah gerimis hujan lagi haduh parah,longsor
gue nangis anjir literally banjir nih mata,lainnya
hujan deres sejam lebih banjir lagi,banjir
barusan gempa lagi,gempa
ngeri banget tanah longsor buat mobil si ray kebalik,longsor
banjir notip seperti bakol olshop,lainnya
udah banjir ini mah,banjir
barusan gempa lagi di jogja,gempa
gila ya baru ini ada kejadian tanah longsor separahnya sampe merusak rumah,longsor
dengan luas puluhan hektar bendungan tukul dibuat untuk mengendalikan banjir memang sampai saat ini banjir masih menjadi momok di berbagai daerah termasuk pacitan,lainnya
akhirnya banjir juga,banjir
gempa susulan lagi di malang lumayan gede,gempa
longsor sekarang paling parah selama gua hidup di lingkungan ini,longsor
udh nonton berkali kali tetep banjir mata gueeeee akh gabisa gue meninggal meninggal gitu,lainnya
masih banjir kalsel,banjir
baru saja malang gempa lagi semoga semuanya aman,gempa
kemaren baru balik dari rumah rika tiba tiba sekarang rumahnya udah rubuh aja ketimpah longsor,longsor
hujan deras sepanjang selasa jelang malam pergantian tahun banjir di tol cipali jabar km arus lalul intas ke semarang macet,lainnya
rumah dikepung banjir gini,banjir
pagi pagi udah gempa daerah jogja purworejo,gempa
km sebelum kampung daun ada tanah longsor,longsor
tol sengaja dibuat banjir biar pengemudi nggak ngantuk dan nggak kebut an,lainnya
sampang banjir,banjir
astaga jam segini gempa lagi,gempa
hari setlh bencana melanda tidak bisa diakses karna longsor,longsor
tandus kalau disiram langsung banjir,lainnya
stadion klabat manado banjir,banjir
klaten gempa krasa bgt,gempa
minggu kmrn longsor di bbrp tempat dan jembatan rusak,longsor
rmh nya gk kenak banjir kan ki,lainnya
hati hati ya pantura banjir semoga gak terjebak,banjir
sama ke daerah cianjur bagian cugenang juga barusan kerasa ada gempa yaa,gempa
mantap sekale motor mogok hujan pula eh ditambah tanah longsor,longsor
banjir itu fenomena global entah banjir karena air hujan yg dari langit ato yg karena naiknya air laut tapi sebagian banjir karena buruknya tata kota minim resapan dan sistem pengairan sungai ato selokan yg terakhir ini mestinya lbh mudah diatasi,lainnya
masih terpantau banjir,banjir
ada yang kerasa gempa jogja,gempa
waspada coy longsor susulan di kp campaka ds godog,longsor
turut prihatin untuk beberapa kejadian di beberapa wilayah hari ini banjir angin semoga tidak ada korban,lainnya
lapangan yang banjir,banjir
terasa lagi gempa nya,gempa
prajurit tni tewas tertimbun longsor saat bantu warga bikin turap,longsor
luar biasa infrastruktur di era jae hanya di indonesia jalan tol di kunjungi banjir,lainnya
haha hujan dikit banjir,banjir
kok gempa lagi anjrot,gempa
hujan cepat stop dong udh longsor ni,longsor
anjir banjir banget banjir konten,lainnya
cepet bgt ye bund uda banjir aja,banjir
yaalloh gempa nya terasa sampe banjarnegara kaget banget lumayan gede gempa nya,gempa
buruan cabut dari sini longsor udh memakan banyak korban jiwa,longsor
cipali banjir karena hujan nyalahin presiden giliran ganti presiden ga terwujud nyalahin tuhan,lainnya
kena banjir seyengku,banjir
gempa lagi tapi ga kenceng bgt yaa,gempa
ada bantuan longsor dari temen terimakasih,longsor
banjir bukan bencana air hanya taat pada ketentuan sang pencipta,lainnya
semoga banjir ini segera surut,banjir
getaran akibat gempa di maluku terasa seperti truk berlalu,gempa
ada info jalur pusuk longsor mohon hati yang mau ke mataram dan yang mau ke lombok utara,longsor
resapan hutan mulai habis dimana kalau hujan lebat dtg selalu banjir,lainnya
banjir bre yang ada mah wkwk,banjir
astaghfirullah gempa lagi kenceng banget hampir kaya kemarin,gempa
ada longsor jadinya ditunda,longsor
gwk bali banjir pengunjung ada pesta kembang api,lainnya
rmh gue langganan banjir ka,banjir
baru juga mau merem gempa lagii,gempa
ada longsor jadinya kereta dibatalin gak jadi jalan kak,longsor
sevenue bakalan banjir kali ya kya asli merindinggggg,lainnya
today gak bisa ke mana mana karna banjir dimana mana,banjir
gempa lama banget astagfirullah,gempa
ada longsorr jadi macet,longsor
tegal doang nih taun baru dapet banjir dan kebakaran,lainnya
dapur ku aja banjir lagi padahal hanyar,banjir
memang terasa gempa di padang uni cuma ndak terlalu kuat goncangan nya,gempa
ah longsor lagi,longsor
yang nyemplung got kering aja bisa jadi presiden apalagi yg nyemplung ke got banjir,lainnya
banjir depan sekolah,banjir
ya allah gue lagi tidur gempa lagi,gempa
mulai longsor lg bg,longsor
banjir mudah diatasi kalo menjadi presiden dulu tapi pas ybz belum jadi presiden,lainnya
jatibening udah banjir aja,banjir
gempa lagi ya tuhan masih pagi,gempa
akibat hujan terus mengguyur nyaris putus jalan ini akibat longsor tepatnya di desa hilinawalo balaekha kec lahusa kab nias selatan,longsor
hujan deras sejak petang membuat perumahan bumi bekasi baru di kelurahan bojongrawalumbu kecamatan rawalumbu terendam banjir,lainnya
tumben bgt banjir parah,banjir
nyawa belum kumpul kaget ada gempa,gempa
alhamdulillah bantuan longsor dah ada,longsor
banjir rendam jalan tol layang itu disebut karena curah hujan sangat tinggi di luar biasanya,lainnya
hujannya deras banget sampai banjir gini,banjir
pagi dah gempa aja,gempa
alhamdulillah bantuan untuk memperbaiki bekas longsor tiba,longsor
pasti yang pake fotomu banjir chat dari cewek,lainnya
banjir belum surut hujan kembali turun,banjir
lah gempa lagi,gempa
alhamdulillah dapat bantuan sembako dari dinas untuk korban longsor,longsor
hujan deras yang mengguyur wilayah indramayu jawa barat selasa ternyata menyebabkan banjir melanda tol cipali di sekitar km,lainnya
hujan dari pagi sampai siang bikin banjir aja dikampung sebelah ini gimana urusan,banjir
terasa lagi getarannya sampai ponorogo,gempa
alhamdulillah selamat barusan longsor ges,longsor
apakah ini termasuk faktor yg mempengaruhi kenaikan biaya tol tol cipali terendam banjir jam pengelola minta maaf,lainnya
surut dah halaman aja yg msh banjir,banjir
gempa lagi yaampun gue masih tdur loh,gempa
alhamdulillah selamat di belakang pohon jatuh karna tanah longsor,longsor
apasi bapa nonton video banjir yg dikirimin sama grup wasapnya diulang mulu mana yg ngevideoin bacot bgt lgi,lainnya
bakalan telat nih gara gara banjir,banjir
ya allah gempa lagi kirain cuman mimpi,gempa
ambon lagi di tantui atas udah longsor,longsor
tenang yg diurus pemprov cuma ijin dwp yg ga diijinin lagi taon depan banjir mah masih diijinkan kok ada di jakarta,lainnya
ujan tambah banjir deh tuh,banjir
gempa lagi kaget banget,gempa
gausah dibilangin rumah gw jg udh kena longsor,longsor
suka heran aja kalo lagi hujan sekalinya ujan deres banget ampe pipi ikutan banjir,lainnya
mau ke kampus tpi gimana ini kalo dimana mana jalan ditutup karna banjir,banjir
di bukit tinggi kerasa gempa tp udh biasa sih,gempa
motor depan rumah gw ketimbun longsor,longsor
neh gubernurnya anis payah anis ga bisa jd gubernur kok tol bisa banjir wkwkwkwkw,lainnya
ini baru namanya jakarta tempo dulu banjir parah,banjir
gempa gw lagi pup,gempa
astagaa mobil kesayangan bokap hancur tertimpa longsor,longsor
dapat kiriman dari teman yg lagi mudik lewat tol cipali km banjir setinggi cm,lainnya
dpn rmh gw udah banjir sepaha berarti di jalan uda sepinggang gw masih disuruh ke sekolah,banjir
bener aja tadi gempa gua kira kenapa anjir,gempa
kaco dg ujan ni longsor dimana besok bisa kerja ksg ni,longsor
katanya motor bebek giliran kena banjir kok nggak bisa berenang,lainnya
udh hari gk masuk sekolah dimana banjir macet sampe ortu gua sm kk gua bingung mau lewat mana,banjir
pas gempa komputerku gerak aku kira truk lewat,gempa
baru kemarin kena angin puting beliung skrg udh kena tanah longsor,longsor
min info sekitaran cimareme ngamprah pdalarang dong skrg masih banjir atau engga,lainnya
gausa kemana mana diluar banjir dimana mana,banjir
wilayah jember banyuwangi digoyang gempa gais,gempa
anj tanah longsor lagi,longsor
iya aku lewat smua tuh dr solo siang tdi ampe tol layang cikampek ktnya banjir jga pas nyampe jagorawi br hujan,lainnya
yah ujan lagi banjir dah rumah gue,banjir
ampun kaget gempa lagi,gempa
arah lembang ke subang macet karna ada longsor,longsor
nah si uki sudah berbuat apa secara riil di lapangan pernah ngumpulin donasi buat rumah aakit pernah ikut bantu turun ke lapangan ketika banjir bencana alam klo cuma modal ngebacot doang org gila juga bisa,lainnya
woi maen banjir yuk gua udh,banjir
gempa lagi kerasa ini masih di kasur,gempa
arah pelabuhan ambon longsor di kota jalan fix ketutup,longsor
kok grabfood gua ganyampe nyampe ya bekasi ga banjir kan,lainnya
sampe mau keluar komplek pun susah gara banjir,banjir
malang gempa lagi dong,gempa
astagaa napa jadi longsor dahhh,longsor
kemaren baru selese nonton five feet apart banjir air mata dong,lainnya
banjir kan buang sampah pada ngablu sih,banjir
barusan ada gempa susulan,gempa
astagfirulloh longsor ges,longsor
melow bgt anjrit banjir mata gue,lainnya
pagi uda ngontrol banjir,banjir
barusan gempa lagi kok jadi takut ya,gempa
astaghfirullah ko jadi longsor,longsor
tol cipali sempat terendam banjir selama jam pihak pengelola sampaikan permintaan maaf,lainnya
cuma akses kmn nya agak banjir,banjir
aku ngerasa gempa lagi tp bentar doang,gempa
hujan dikit doang udh buat tanah longsor pusingg,longsor
underpass padalarang terendam bajir meter tol cipali di indramayu juga terendam banjir,lainnya
ini beneran banjir besar tahunan yg tertunda tahun,banjir
gempa lagi gila,gempa
badan jalan sudah longsor,longsor
buka twitter udah banjir air mata aja,lainnya
pagi liat seisi rumah penuh dengan orang dan barang korban banjir,banjir
jujur kaget gempa anjir gue doang pula yg bangun,gempa
bagi yg mw k cianjur selatan harap hati banyak titik jalan yang amblas dan trkena longsor krn hujan deras,longsor
smpek gemeteran aku tuh mna uda banjir mata nih,lainnya
banjir itu bikin barang gw terutama sepatu gw basah semua,banjir
panik bgt ada gempa sampe mo lari aja jatuh dari atas kasur,gempa
banjarnegara msih longsor,longsor
drainasenya kan cuma tinggal ngandelin gravitasi koq bisa banjir sih,lainnya
dirumah banjir tapi orang rumah percayain ke gue,banjir
ya sih tadi kerasa gempa tapi kerasanya dikit,gempa
bukannya makin aman malah makin gede bisa longsor dah,longsor
kayaknya nonton film nkcthi bakal nangis banjir deh,lainnya
selamat sampai kantor menerjang banjir dan macet sepi,banjir
gempa dikit aja lngsung lari sekrg parno,gempa
longsor gunung geurutee buat pusing kepalang,longsor
rekonsiliasi itu adalah parade pesta pora berbagi kursi kekuasaan diatas tumpukan tengkorak dan tulang belulang umat diatas banjir darah dan kekecewaan umat,lainnya
banjir dmn sesuatu banget ini,banjir
sinting banget gempa pagi pagi,gempa
longsor landa daerah gw akses terbatas brow,longsor
park chanyeol makasih loh udah bikin aku mereka dan kita semua banjir aer mata,lainnya
banjir di rawa panjang,banjir
gempa menyapa pagi buta hingga terluntalunta,gempa
tolong ada longsor kak,longsor
banjir bandang melanda kabupaten labuhan batu sumut menyebabkan keluarga hilang,lainnya
ujan mulu banjir dimana mana ditambah ada pemadaman listrik jadi gak belajar nih gelap,banjir
morning guys btw barusan gempa lagi,gempa
longsorr lagi tiap tahun euy,longsor
akibat curah hujan yang tinggi ruas jalan tol cipali km arah jakarta dan bandung sempat tergenang banjir,lainnya
kejebak banjir sambil kehujanan juga hari ini special banget dech,banjir
ini gempa kerasa bngt cuy,gempa
longsor adalah hal yg wajar di desa gw,longsor
kalo punya rejeki lebih terus bisa nonton encore kaya gini tuh kayaknya gue banjir merembes rembes kayaknya wong gue konser mau mulai baru dikasih moonlight aja gue udah nangis gak karuan,lainnya
udah hari gua ngga sekolah gara banjir,banjir
kampung ku gempa rek,gempa
longsor buat prekonomian buntu,longsor
bener banget pasti bakal bikin venue banjir,lainnya
ini banjir kapan surut yak masyaallah ngobok terus dari kemaren,banjir
la kok gempa susulan lagi bikin kaget,gempa
kena longsor yaa,longsor
hujan deras sebabkan underpass padalarang terendam banjir,lainnya
iya nih sialan ga bisa kemana mana karna banjir,banjir
ya allah kerasa lagi gempa barusan tapi gak sekenceng kemarin,gempa
banyak rumah di ambon kena longsor,longsor
jongin banjir banget gusti hari ini bener kata suho dia kalo di stage manly sangat tapi aslinya uwu sensitif banget,lainnya
jir banjir untung ga ada kuliah lagi kecuali bimbingan nanti kalo msh kuliah bisa ga kuliah nih gara banjir di ciledug,banjir
demi apasi gempa susulan jam segini,gempa
baru kali ini kejebak jalan longsor,longsor
tahun baruan bareng banjir diskon,lainnya
dan gue pun dikerjain sama banjir udah sampe sekolah isinya orang ngungsi parah,banjir
bisabisanya ada gempa kenceng bgt aku malah enak rebahan sambil scroll tiktok kesanya kaya menikmati wkwk,gempa
baru kali ni liat tanah longsor,longsor
kenapa tidak sekalian di puterin lagu promise biar banjir seluruh permukaan di koreyaah,lainnya
gila binawan banjir astaga,banjir
gempa lagi barusan ga sekenceng kemarin sih tapi kerasa dan cuma bentar,gempa
batu kena macet rek jalan arah karna longsor,longsor
turut berduka untuk sodara kita yg terkena banjir di padalarang jawa barat,lainnya
gara gara banjir rute skolah gue jadi gajelas,banjir
tempat gue gempa lagi skrg,gempa
batu longsor jadi pending dulu ke wisatanya,longsor
ini penyebab banjir di tol cipali km ruas tol cipali km arah jakarta,lainnya
yaallah kampung melayu banjir lewat mana gua pkl,banjir
gempa nya kuat bgt,gempa
batu masih longsor,longsor
edy rahmayadi cek banjir bandang di labura akibat pembalakan liar,lainnya
kmp melayu banjir kamse ngambek,banjir
baru kali ini dh gempa langsung lari gk pake bengong dulu,gempa
batu sempat longsor dan bikin jalan macet,longsor
banjir akan lebih mudah diatasi kalau aniesbaswedan jadi presiden,lainnya
mama ngasih uang jajan ke gw trus kan gw gk masuk sekolah garabanjir eh untung deh gw gak sekolah tapi dpt uang,banjir
allahu akbar gempa lagi pagi,gempa
beberapa desa di daerah ku kena longsor min mohon doanya,longsor
ga banjir di situ,lainnya
berasa naik perahu jadinya kalau banjir gini,banjir
gempa lagi kenceng banget,gempa
beberapa titik di ambon dilanda longsor ges,longsor
ga kok aku ga nangis cuma banjir aja nih pipi,lainnya
kali maunya apan si pake banjir banjir segala,banjir
gempa keras bgt gila,gempa
bekas longsor masih menyapa pagiku,longsor
engga banjir kok,lainnya
ketika banjir masih banyak jalan alternatif tapi banjirnya di depan pintu rumah,banjir
lombok di guncang gempa berturut,gempa
libur tlh tiba libur tlah tiba gara longsor sklh diliburin,longsor
engga banjir rumah gw santuy,lainnya
banjir baru sampe teras rumah doang ini,banjir
gempa susulan lagi,gempa
berada di tengah bencana longsor,longsor
kaga kok kaga banjir nih rumah,lainnya
kelas pun ikut banjir,banjir
baru aja gempa di lombok ngeri banget astagfirullah,gempa
capek gw ketemu tanah longsor lg,longsor
sokin lah rumah gw anti banjir,lainnya
banjir kgak skul ama les,banjir
sumpah gempa serem euy sampe kebangun,gempa
berastagi longsor lagi tempat kita jalan sore hari itu,longsor
rumah gw aman kok ga banjir,lainnya
berada ditengah tengah banjir,banjir
bali gempa kenceng banget,gempa
bismillah semoga jalan longsor nya cepet diperbaiki,longsor
ga banjir disini mah selow,lainnya
dafuq banjir udah di teras mati lampu lagi,banjir
gila gempa kenceng banget,gempa
mari ngungsi gaes antisipasi longsor hampir kena rumah soalnya,longsor
abis nonton suho ga bisa berenti nih air mata ampe banjir pipi gw,lainnya
gile maharta masih banjir aje,banjir
ga lucu pas aku mandi ada gempa,gempa
buset dari kemarin sisa tanah longsor blm dibersihin,longsor
nonton konser exo di netflix siapin tisu aja nih biar ga banjir pipi,lainnya
pulang banjir berangkat pun masih banjir,banjir
trnyata td pagi bneran gempa pantesan goyang dikit,gempa
mantap kejebak longsor terpaksa puter balik,longsor
abis nonton langsung di venue parah dibikin nangis semua ampe pada banjir pipinya,lainnya
belakang msh banjir skrg ujan lagi,banjir
gempa setengah sadar langsung lari ke ruang tamu bawa bantal guling,gempa
brastagi longsor hati yg kesini longsornya cm,longsor
kalo udah nonton langsung di venue pasti lebih banjir lagi nih pipi gw,lainnya
kali ini sekolah bener gak bisa masuk banjir parah cobaan banget ya,banjir
kenceng banget gempa nya kaget,gempa
msih longsor gmn mau balik ke rmh,longsor
denger mereka nangis bikin pipi gw tambah banjir huaaaaa,lainnya
padahal udah rapih tapi kejebak banjir gak bisa lewat manapun indosiar kelelep pesing kelelep harus naek helikopter,banjir
gempa pas ujan deres lgsg bgt inget tuhan,gempa
longsor kembali melanda lingkungan sekitar,longsor
nct plissss jangan bikin pipi aku banjir lagiii cukuppp,lainnya
sekolah gua sedih banget sih mati lampu dari kemaren gara sekolah sebelah banjir,banjir
td gempa berasa tp tetep stay calm karena nguantuk,gempa
cilebut macet karna jalan longsor,longsor
malem malem ditambah pipi basah semua otw banjir nih pipi gw,lainnya
hujan dan banjir bkin macet dimana jam segini masi aja di kalimalang edan,banjir
gempa terasa sampai jepara,gempa
cuaca hujan badai siaga longsor menyusul,longsor
pliss udah gakuat nontonnya air mata udah banjir semua di pipi gw huaaaaa,lainnya
jalanan banjir semua gak bsa kerja,banjir
jogja gempa ya kenceng bgt sampe kebangun,gempa
kaga bisa nongkrong warung langganan kena tanah longsor,longsor
dadang pliss jangan bikin gw banjir air mata lagiii lama lama kering nih air mata gw,lainnya
banjir kiriman sudah mulai tiba kp melayu banjir tinggi dan semrawut baiklah,banjir
kirain mimpi ternyata beneran gempa kenceng banget lg,gempa
daerah aku kena longsor,longsor
gatega liat para member exo pada nangis ga kerasa pipi gw udah banjir air mata,lainnya
seru berangkat kerja sekalian liat banjir,banjir
lg utbk kirain perasaan gue aja gempa ternyata emang beneran gempa,gempa
daerah ku longsor karna tanah miring beberapa waktu lalu,longsor
pliss jangan nangis jangan nangis nanti banjir lagi pipi ku ini,lainnya
padahal udh jalan tpi banjir dimana akhirnya balik lgi,banjir
baru pertama kali ngerasain gempa,gempa
bangun tidur kuterus kaget gara longsor,longsor
suhooo pliss jangan nangis pipi ku jadi ikut banjir air mata,lainnya
tangerang masih banjir daan mogot cuma berangkat aja dulu kalo gagal ya pulang lagi hargai niat nya dulu,banjir
sumpah baru kali ini kerasa bgt gempa sampe goyang kenceng bgt kasurnya,gempa
kesana longsor kesini longsor,longsor
kalo sampe dadang nangis di stage gw udah ga ngerti lagi bakal banjir kaya apa ini pipi gw,lainnya
sudah bersih rumah banjir gak seberapa pegelnya beres yg luar biasa,banjir
kenapa ngerasa gempa terus sih,gempa
dapat bantuan longsor dari pt cinta jaya nih lumayan,longsor
tp ga banjir kok disini aman aja,lainnya
sekolah dalam keadaan banjir membuat belajar di sekolah semakin mudah di pelajari terutama pelajaran ipa lngsng bisa praktek,banjir
tdi gue pas utbk gempa anjir,gempa
dapat kabar dari semeh depan rumah jalan longsor hyung,longsor
halo saya bencana bot untuk melaporkan banjir di sekitarmu silakan balas dengan,lainnya
berangkat kerja bersiap dgn genangan banjir,banjir
gempa pantesan aku duduk kirain kepala aku oleng ternyata,gempa
gw ngungsi smentara lg longsor soalnya,longsor
hbis menonton ikatan cinta andin sma alditaher auto banjir mata,lainnya
selamat pagi pagi ini ditemani segelas kopi susu dan air banjir,banjir
mau ke kamar mandi ambil air wudhu eh gempa,gempa
gile ini namanya udh darurat longsor,longsor
aminn paling serius semoga kita semua banjir orderan semoga kakak sehat terus stay healthy semuaa,lainnya
mau kumpul skripsi malah banjir,banjir
kenceng juga gempa barusan,gempa
udh lelah hayati jd korban longsor mulu,longsor
alhamdulillah ujan gw tidur udh banjir keringat,lainnya
